電影名稱,圖片連結,評分,類型
穿条纹睡衣的男孩 - The Boy in the Striped Pajamas,https://p1.meituan.net/movie/d5970e36c8868a4b746c80f3b3f8a404174615.jpg@464w_644h_1e_1c,8.8,"剧情, 战争"
教父 - The Godfather,https://p0.meituan.net/movie/1199dc6273680f175fd9b06c9c36d08a219658.jpg@464w_644h_1e_1c,8.8,"剧情, 犯罪"
萤火之森 - 蛍火の杜へ,https://p1.meituan.net/movie/4c55f3bf5fa9660db3cb7014651a0950267034.jpg@464w_644h_1e_1c,8.8,"剧情, 爱情, 动画, 奇幻"
素媛 - 소원,https://p0.meituan.net/movie/19653e8af59cf473cd40f9ccc0658d93692304.jpg@464w_644h_1e_1c,8.8,剧情
小鞋子 - بچههای آسمان,https://p1.meituan.net/movie/135c612860fae899df2220149664d97a173555.jpg@464w_644h_1e_1c,8.8,"剧情, 家庭"
熔炉 - 도가니,https://p1.meituan.net/movie/2a0783b4fd95566568f24adfad2181bb5392280.jpg@464w_644h_1e_1c,8.8,剧情
大话西游之大圣娶亲 - A Chinese Odyssey Part Two - Cinderella,https://p1.meituan.net/moviemachine/508056769092059fe43a611b949f27d14863831.jpg@464w_644h_1e_1c,8.9,"喜剧, 爱情, 奇幻"
新龙门客栈 - New Dragon Gate Inn,https://p1.meituan.net/movie/7833126c8c21a11571bb52fbdece0acb811449.jpg@464w_644h_1e_1c,8.9,"动作, 爱情, 武侠, 古装"
触不可及 - Intouchables,https://p1.meituan.net/movie/1e700e53e4fe29dd5942381bb353c8532239179.jpg@464w_644h_1e_1c,8.9,"剧情, 喜剧"
钢琴家 - The Pianist,https://p0.meituan.net/movie/bcbe59fc51580317adf94537a61a1a26142090.jpg@464w_644h_1e_1c,8.9,"剧情, 音乐, 传记, 历史, 战争"
本杰明·巴顿奇事 - The Curious Case of Benjamin Button,https://p0.meituan.net/movie/2526f77c650bf7cf3d5ee2dccdeac332244951.jpg@464w_644h_1e_1c,8.9,"剧情, 爱情, 奇幻"
倩女幽魂 - A Chinese Ghost Story,https://p1.meituan.net/movie/96d98200d2afb4b87ff189f9c15b6545568339.jpg@464w_644h_1e_1c,8.9,"爱情, 奇幻, 武侠, 古装"
哈利·波特与死亡圣器（下） - Harry Potter and the Deathly Hallows: Part 2,https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@464w_644h_1e_1c,8.9,"剧情, 悬疑, 奇幻, 冒险"
甜蜜蜜 - Comrades: Almost a Love Story,https://p1.meituan.net/movie/0b0d45b58946078dd24d4945dd6be3b51329411.jpg@464w_644h_1e_1c,8.9,"剧情, 爱情"
蝙蝠侠：黑暗骑士崛起 - The Dark Knight Rises,https://p0.meituan.net/movie/f7f4b4099773268f8290ed033f49dc01377512.jpg@464w_644h_1e_1c,8.9,"剧情, 动作, 科幻, 惊悚, 犯罪"
鬼子来了 - Devils on the Doorstep,https://p0.meituan.net/movie/34f9202c5e823f490ffec4c69d5d0028137395.jpg@464w_644h_1e_1c,8.8,"剧情, 战争"
无敌破坏王 - Wreck-It Ralph,https://p1.meituan.net/movie/70a574550c4bb928dcc6a40641294785150838.jpg@464w_644h_1e_1c,8.8,"喜剧, 动画, 奇幻, 冒险"
致命魔术 - The Prestige,https://p0.meituan.net/movie/83df1c541e6e0696e67ce7da81cb1e1a251258.jpg@464w_644h_1e_1c,8.8,"剧情, 悬疑, 惊悚"
神偷奶爸 - Despicable Me,https://p0.meituan.net/movie/85c2bfba6025bfbfb53291ae5924c215308805.jpg@464w_644h_1e_1c,8.8,"喜剧, 动画, 冒险"
断背山 - Brokeback Mountain,https://p0.meituan.net/movie/e71affe126eeb4f8bfcc738cbddeebc8288766.jpg@464w_644h_1e_1c,8.8,"剧情, 爱情, 家庭"
怦然心动 - Flipped,https://p0.meituan.net/movie/15f1ac49b6d1ff7b71207672993ed6901536456.jpg@464w_644h_1e_1c,8.8,"剧情, 喜剧, 爱情"
驯龙高手 - How to Train Your Dragon,https://p0.meituan.net/movie/b0d97e4158b47d653d7a81d66f7dd3092146907.jpg@464w_644h_1e_1c,8.8,"喜剧, 动画, 奇幻, 冒险"
飞屋环游记 - Up,https://p0.meituan.net/movie/f9356a376358f1576da3263d998eca7a94624.jpg@464w_644h_1e_1c,8.8,"剧情, 喜剧, 动画, 冒险"
黑客帝国3：矩阵革命 - The Matrix Revolutions,https://p0.meituan.net/movie/2e383b5f5f306f10f9f26d9f1c28cf1d825537.jpg@464w_644h_1e_1c,8.8,"动作, 科幻"
速度与激情5 - Fast Five,https://p0.meituan.net/movie/845ce32778a1b3f258de089f91a3979b5766154.jpg@464w_644h_1e_1c,8.9,"动作, 犯罪"
勇敢的心 - Braveheart,https://p1.meituan.net/movie/f8e9d5a90224746d15dfdbd53d4fae3d209420.jpg@464w_644h_1e_1c,8.9,"剧情, 动作, 传记, 历史, 战争"
三傻大闹宝莱坞 - 3 Idiots,https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg@464w_644h_1e_1c,8.9,"剧情, 喜剧, 爱情, 歌舞"
闻香识女人 - Scent of a Woman,https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg@464w_644h_1e_1c,8.9,剧情
末代皇帝 - The Last Emperor,https://p1.meituan.net/movie/21b9211eb1094af360842472018db634286646.jpg@464w_644h_1e_1c,8.9,"剧情, 传记, 历史"
风之谷 - 風の谷のナウシカ,https://p0.meituan.net/movie/4f9638ba234c3fb673f23a09968db875371576.jpg@464w_644h_1e_1c,8.9,"动画, 奇幻, 冒险"
大话西游之月光宝盒 - A Chinese Odyssey,https://p0.meituan.net/movie/396266d8b711958841b3536a3fa7b868211445.jpg@464w_644h_1e_1c,8.9,"喜剧, 爱情, 奇幻, 古装"
放牛班的春天 - Les choristes,https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg@464w_644h_1e_1c,8.9,"剧情, 音乐"
当幸福来敲门 - The Pursuit of Happyness,https://p1.meituan.net/movie/7d1d85610651dbe1c8687781a87d1008184950.jpg@464w_644h_1e_1c,8.9,"剧情, 家庭, 传记"
幽灵公主 - もののけ姫,https://p0.meituan.net/movie/a08f65e6cb50fab32df5da69ff116f593095363.jpg@464w_644h_1e_1c,8.9,"动画, 奇幻, 冒险"
十二怒汉 - 12 Angry Men,https://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@464w_644h_1e_1c,8.9,剧情
搏击俱乐部 - Fight Club,https://p0.meituan.net/movie/b3defc07dfaa1b6f5b74852ce38a3f8f242792.jpg@464w_644h_1e_1c,8.9,"剧情, 动作, 悬疑, 惊悚"
疯狂原始人 - The Croods,https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg@464w_644h_1e_1c,8.9,"喜剧, 动画, 冒险"
阿凡达 - Avatar,https://p1.meituan.net/movie/e540384dc6c9f63bdb27cc554588a77f44305.jpg@464w_644h_1e_1c,8.9,"动作, 科幻, 冒险"
哈尔的移动城堡 - ハウルの動く城,https://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@464w_644h_1e_1c,8.9,"动画, 奇幻, 冒险"
盗梦空间 - Inception,https://p1.meituan.net/movie/d40efe1183f29d5900f5c60be3c8a89d339225.jpg@464w_644h_1e_1c,8.9,"剧情, 科幻, 悬疑, 冒险"
忠犬八公的故事 - Hachi: A Dog's Tale,https://p0.meituan.net/movie/5f0a709378d6b567807aa9685610f818282136.jpg@464w_644h_1e_1c,8.9,剧情
拯救大兵瑞恩 - Saving Private Ryan,https://p1.meituan.net/movie/a2a287c77415dc1f85b04d288f7d63ab1089754.jpg@464w_644h_1e_1c,8.9,"剧情, 历史, 战争"
活着 - To Live,https://p0.meituan.net/movie/4c41068ef7608c1d4fbfbe6016e589f7204391.jpg@464w_644h_1e_1c,9.0,"剧情, 家庭, 历史"
机器人总动员 - WALL·E,https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@464w_644h_1e_1c,9.0,"喜剧, 科幻, 动画"
天堂电影院 - Nuovo Cinema Paradiso,https://p0.meituan.net/movie/76fc92cfa6c8f2959431b8aa604ef7ae126414.jpg@464w_644h_1e_1c,9.0,"剧情, 爱情"
指环王2：双塔奇兵 - The Lord of the Rings: The Two Towers,https://p0.meituan.net/movie/02bb9fd161c05bad6089133098efcdb5546589.jpg@464w_644h_1e_1c,9.0,"剧情, 动作, 奇幻, 冒险"
指环王1：护戒使者 - The Lord of the Rings: The Fellowship of the Ring,https://p1.meituan.net/movie/dd08154878aac7c8c649fe3eeb8ccd0a2498277.jpg@464w_644h_1e_1c,9.0,"剧情, 动作, 奇幻, 冒险"
射雕英雄传之东成西就 - The Eagle Shooting Heroes,https://p0.meituan.net/movie/86c5190ba1d1236093c13f2fe9ed8dd4150050.jpg@464w_644h_1e_1c,9.0,"喜剧, 奇幻, 武侠, 古装"
蝙蝠侠：黑暗骑士 - The Dark Knight,https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@464w_644h_1e_1c,9.0,"剧情, 动作, 科幻, 惊悚, 犯罪"
无间道 - Infernal Affairs,https://p0.meituan.net/movie/606de8f394d40dbcbb9b87943fec71a2130408.jpg@464w_644h_1e_1c,9.0,"剧情, 悬疑, 犯罪"
教父2 - The Godfather: Part Ⅱ,https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@464w_644h_1e_1c,9.0,"剧情, 犯罪"
加勒比海盗 - Pirates of the Caribbean: The Curse of the Black Pearl,https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@464w_644h_1e_1c,9.0,"动作, 奇幻, 冒险"
哈利·波特与魔法石 - Harry Potter and the Sorcerer's Stone,https://p0.meituan.net/movie/d66b56b77b55aa3da5987b68948444c9106742.jpg@464w_644h_1e_1c,9.0,"奇幻, 冒险"
指环王3：王者无敌 - The Lord of the Rings: The Return of the King,https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@464w_644h_1e_1c,9.0,"剧情, 动作, 奇幻, 冒险"
黑客帝国 - The Matrix,https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@464w_644h_1e_1c,9.0,"动作, 科幻"
剪刀手爱德华 - Edward Scissorhands,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,9.0,"剧情, 爱情, 奇幻"
春光乍泄 - Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,9.0,"剧情, 爱情"
大闹天宫 - The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,9.0,"动画, 奇幻"
天空之城 - 天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,9.0,"动画, 奇幻, 冒险"
音乐之声 - The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,9.0,"剧情, 爱情, 歌舞, 传记"
辛德勒的名单 - Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,9.5,"剧情, 历史, 战争"
魂断蓝桥 - Waterloo Bridge,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,9.5,"剧情, 爱情, 战争"
